Ville,Type de bien,Prix
Saint-Rémy-de-Provence ,maison,2435000
Senlis ,appartement,200000
Beaumont-les-valence ,locaux,149000
Arpajon ,appartement,170000
Lorgues ,maison,555000
Eygalières ,maison,2120000
Antony ,appartement,685000
Neuilly-sur-Seine ,appartement,790000
Asnieres-sur-seine ,maison,1495000
Levallois-Perret ,appartement,790000
Beaucaire ,appartement,245000
Senlis ,appartement,211000
Artannes-sur-Indre ,maison,273120
Paris 14ème ,appartement,660000
Paris 16ème ,appartement,395000
Fontvieille ,maison,1995000
Senlis ,appartement,195000
Paris 16ème ,appartement,254000
Vigoulet-Auzil ,maison,599000
Brest ,maison,234300
Condé-sur-Sarthe ,maison,255000
Damigny ,maison,137000
La Courneuve ,appartement,334680
Meschers-sur-Gironde ,maison,371900
Sannois ,appartement,524580
La Varenne Saint Hilaire ,appartement,320000
Paris 11ème ,appartement,595000
Antony ,appartement,730000
Montrouge ,appartement,781680
Chessy ,appartement,358000
Enghien-les-Bains ,appartement,426000
Paris 11ème ,appartement,1150000
Senlis ,appartement,266000
Les Clayes-sous-Bois ,appartement,314000
Grandcamp-Maisy ,locaux,249000
Sissonne ,maison,113000
Paris 11ème ,appartement,599000
Saint-Cyr-l'Ecole ,appartement,410000
Annecy ,appartement,321680
Trappes ,appartement,218000
Trappes ,appartement,199000
Paris 11ème ,appartement,1990000
Saint-Ouen ,appartement,350000
Saint-Roch ,maison,296400
Garges-les-gonesse ,appartement,214680
Annecy ,appartement,441680
Paris 5ème ,appartement,1700000
Saint-Ouen ,appartement,310000
Creteil ,appartement,414434
Lantenay ,appartement,183680
Enghien-les-Bains ,appartement,535000
Lantenay ,appartement,207680
Montigny-les-cormeilles ,appartement,197480
La Varenne Saint Hilaire ,appartement,348000
Ousse ,maison,337000
Lille ,appartement,470000
Elancourt ,appartement,224680
Paris 16ème ,appartement,229000
Saint-Ouen ,appartement,198897
Courseulles-sur-Mer ,appartement,145130
Meudon la foret ,appartement,1088469
Courseulles-sur-Mer ,maison,316240
Paris 17ème ,appartement,1195000
Clapiers ,appartement,329000
Chemilly-sur-Yonne ,maison,201292
Rennes ,maison,748800
Sevres ,viager,261920
Paris 15ème ,appartement,1800000
Clapiers ,appartement,339000
Enghien-les-Bains ,appartement,444000
Boissy-saint-leger ,appartement,384000
Montigny-les-cormeilles ,appartement,269110
Paris 17ème ,appartement,1880000
Clapiers ,appartement,449000
Saint-Roch ,maison,249400
Villemoisson-sur-Orge ,appartement,285890
Ivry-sur-Seine ,appartement,384680
Paris 1er ,appartement,1260000
Clapiers ,appartement,479000
La Roche-sur-Yon ,appartement,255179
Elancourt ,appartement,271680
La Varenne Saint Hilaire ,appartement,358000
Enghien-les-Bains ,appartement,521000
Ivry-sur-Seine ,appartement,501680
Enghien-les-Bains ,duplex,1040000
Ousse ,maison,337000
Villemomble ,appartement,224680
Ivry-sur-Seine ,appartement,326680
Paris 8ème ,appartement,4190000
Castelnau-le-Lez ,appartement,706046
Montigny-les-cormeilles ,appartement,336680
Creteil ,appartement,351680
Les Mureaux ,appartement,231680
Paris 5ème ,appartement,2500000
Clapiers ,appartement,449000
Beauvais ,maison,228900
Cuxac-d'Aude ,maison,115500
Champdeniers-Saint-Denis ,maison,59000
Paris 5ème ,appartement,2600000
